Country Name	Country Code	Indicator Name	Indicator Code	2017.00	2018.00	2019.00	2020.00	2021.00
Myanmar	MMR	GDP (current US$)	NY.GDP.MKTP.CD	61449392056.15	67144725830.58	68697759361.23	78930257227.09	65067808984.68
Middle East & North Africa (excluding high income)	MNA	GDP (current US$)	NY.GDP.MKTP.CD	1455193787706.94	1380524947470.91	1391982940489.58	1263840405685.41	1455921395695.44
Montenegro	MNE	GDP (current US$)	NY.GDP.MKTP.CD	4856602178.63	5506944403.30	5542201150.91	4780722121.96	5809170961.78
Mongolia	MNG	GDP (current US$)	NY.GDP.MKTP.CD	11480847745.32	13178094459.45	14206359006.81	13312981594.57	15098022828.61
Northern Mariana Islands	MNP	GDP (current US$)	NY.GDP.MKTP.CD	1560000000.00	1302000000.00	1182000000.00		
Mozambique	MOZ	GDP (current US$)	NY.GDP.MKTP.CD	13219079497.71	14845400592.67	15390031040.00	14028811071.76	16095828896.63
Mauritania	MRT	GDP (current US$)	NY.GDP.MKTP.CD	6800135961.61	7352533585.59	7889655284.47	7915985513.70	8227580740.50
Mauritius	MUS	GDP (current US$)	NY.GDP.MKTP.CD	13259351418.45	14181951058.51	14045808843.22	10926820603.40	11156657769.70
Malawi	MWI	GDP (current US$)	NY.GDP.MKTP.CD	8943543677.19	9880676218.83	11025370768.81	12172128469.57	12626718073.74
Malaysia	MYS	GDP (current US$)	NY.GDP.MKTP.CD	319112136545.44	358791513221.48	365276379480.99	337006023789.70	372701358820.26
North America	NAC	GDP (current US$)	NY.GDP.MKTP.CD	21136028016244.10	22259711195783.00	23122010947482.30	22546048902568.40	24993942509665.20
Namibia	NAM	GDP (current US$)	NY.GDP.MKTP.CD	12895153160.47	13682062249.22	12543203410.69	10562637375.59	12236250784.13
New Caledonia	NCL	GDP (current US$)	NY.GDP.MKTP.CD	9173668102.14	9846922416.15	9438130987.37	9435529927.25	
Niger	NER	GDP (current US$)	NY.GDP.MKTP.CD	11185102399.58	12808660528.06	12916455161.11	13741378450.14	14950949875.27
Nigeria	NGA	GDP (current US$)	NY.GDP.MKTP.CD	375746469538.67	397190484464.31	448120428858.77	432293776262.40	440776971536.02
Nicaragua	NIC	GDP (current US$)	NY.GDP.MKTP.CD	13785909906.19	13025239912.28	12596636042.23	12586941392.63	14013022092.06
Netherlands	NLD	GDP (current US$)	NY.GDP.MKTP.CD	833869641687.06	914043438179.61	910194347568.63	913865395789.89	1018007056949.60
Norway	NOR	GDP (current US$)	NY.GDP.MKTP.CD	398393955268.99	436999692591.45	404941363636.36	362198318435.26	482437019790.45
Nepal	NPL	GDP (current US$)	NY.GDP.MKTP.CD	28971589213.22	33111525871.95	34186190995.96	33433670511.94	36288830373.41
Nauru	NRU	GDP (current US$)	NY.GDP.MKTP.CD	109359680.22	124021393.69	118724073.81	114626625.55	133218896.93
New Zealand	NZL	GDP (current US$)	NY.GDP.MKTP.CD	206623758800.16	211953111035.51	213434571357.98	211734532308.01	249991512236.53
OECD members	OED	GDP (current US$)	NY.GDP.MKTP.CD	50468487779733.60	53389616112315.20	53898740687188.20	52333093047631.90	57920170928484.40
Oman	OMN	GDP (current US$)	NY.GDP.MKTP.CD	80856697009.10	91505851755.53	88060858257.48	73971391417.43	85868626527.96
Other small states	OSS	GDP (current US$)	NY.GDP.MKTP.CD	398431383419.64	441994932565.81	432762687769.92	376519277668.36	447252486851.27
Pakistan	PAK	GDP (current US$)	NY.GDP.MKTP.CD	339205615769.19	356128224957.09	320909489229.72	300306331697.67	346343170486.07
Panama	PAN	GDP (current US$)	NY.GDP.MKTP.CD	62202725200.00	64929409200.00	66984427200.00	53977037000.00	63605065800.00
Peru	PER	GDP (current US$)	NY.GDP.MKTP.CD	211007207483.52	222597212925.21	228323495040.90	201705055938.65	223249497500.39
Philippines	PHL	GDP (current US$)	NY.GDP.MKTP.CD	328480867142.69	346842094175.24	376823278561.20	361751116292.54	394086419343.06
Palau	PLW	GDP (current US$)	NY.GDP.MKTP.CD	285300000.00	284700000.00	274200000.00	257700000.00	
Papua New Guinea	PNG	GDP (current US$)	NY.GDP.MKTP.CD	22742613553.69	24109509852.74	24751344560.89	24667052023.12	26594277245.78
Poland	POL	GDP (current US$)	NY.GDP.MKTP.CD	526508877305.32	587411745161.56	597280564671.56	596624355719.67	674048266397.37
Pre-demographic dividend	PRE	GDP (current US$)	NY.GDP.MKTP.CD	1293918591719.65	1322706441706.90	1393565082221.82	1309752047432.10	1433124281341.12
Puerto Rico	PRI	GDP (current US$)	NY.GDP.MKTP.CD	103445526000.00	100925000000.00	104914600000.00	103138300000.00	
"Korea, Dem. People's Rep."	PRK	GDP (current US$)	NY.GDP.MKTP.CD					
Portugal	PRT	GDP (current US$)	NY.GDP.MKTP.CD	221357874718.93	242313116577.97	239986922638.90	228539245045.34	249886464354.75
Paraguay	PRY	GDP (current US$)	NY.GDP.MKTP.CD	38997129473.56	40225448340.63	37925338329.16	35432178068.18	38986810989.00
West Bank and Gaza	PSE	GDP (current US$)	NY.GDP.MKTP.CD	16128000000.00	16276600000.00	17133500000.00	15531700000.00	18036800000.00
Pacific island small states	PSS	GDP (current US$)	NY.GDP.MKTP.CD	10217604992.44	10657544778.12	10644265612.35	9573379122.14	9749476210.02
Post-demographic dividend	PST	GDP (current US$)	NY.GDP.MKTP.CD	47559090134749.70	50409601013871.70	50901911073586.60	49529282835846.20	54622502733268.80
French Polynesia	PYF	GDP (current US$)	NY.GDP.MKTP.CD	5833351477.90	6135117589.08	6008055247.78	5669368717.21	
